idx	X	Y	component
0	1000	1007.460965412103	0
1	2069.913945544814	1020.828956886893	0
2	1070.654957366517	1062.96089099439	0
3	2069.913945972945	1020.828956873698	0
4	2069.913945543818	1020.82895688697	0
5	4709.006268400911	1017.674445502092	0
6	3709.149906490497	1000	0
7	4709.006268183109	1017.674445516778	0
8	4709.006267860104	1017.674445517186	0
9	42130.03846370917	1043.207512769254	0
10	42130.03846370355	1043.207512769379	0
11	42131.03485021336	1043.292453902781	0
12	42130.03846368672	1043.207512769047	0
13	42131.03485014458	1043.292453901081	0
14	42131.03485012816	1043.292453901267	0
15	54291.03563903811	1023.650122898793	0
16	54291.03563902903	1023.650122902587	0
17	54292.01854899635	1023.834218536322	0
18	54291.03563904003	1023.650122898562	0
19	54292.01854901815	1023.834218535494	0
20	54292.01854898551	1023.834218533304	0
21	129861.0778605816	1024.311792326417	0
22	129861.0778607371	1024.311792330472	0
23	129862.050075561	1024.077713063029	0
24	129861.0778607871	1024.311792310698	0
25	129862.050075843	1024.077713082372	0
26	129862.0500750124	1024.077713058853	0
27	138412.3609548035	1014.316907763719	0
28	138412.3609548045	1014.316907763719	0
29	138412.3860379222	1014.31714443406	0
30	138412.3860377	1014.317144434896	0
31	148593.7724193481	1021.789585170105	0
32	148593.7724188573	1021.789585170136	0
33	150794.6949013023	1042.143168331683	0
34	148593.7724202139	1021.789585158907	0
35	149594.2499547131	1056.741036261526	0
36	150794.6949013129	1042.14316833487	0
37	152411.6640546883	1026.425632521735	0
38	150794.6949012454	1042.14316833646	0
39	151795.6489303958	1028.000276967696	0
40	1000	2733.655348407684	1
41	3080.010441758932	3662.858395102774	1
42	3080.010290874401	3662.858316705348	1
43	3079.707687811664	3663.809776975003	1
44	3080.010467768472	3662.858428675872	1
45	3079.707127846341	3663.809606450527	1
46	3079.707127847301	3663.809606450681	1
47	4428.748879185237	4121.946240550634	1
48	4428.718206092162	4121.854750423892	1
49	4428.797460916801	4122.043913666953	1
50	4428.788934633369	4122.026291327441	1
51	4431.073610610212	4124.378714307448	1
52	4431.064492576144	4124.37368252309	1
53	4431.289294018556	4124.428762024693	1
54	4431.290801291907	4124.426585620898	1
55	4913.309260193346	4257.688444555062	1
56	4913.310071511485	4257.688479088997	1
57	4914.276996076456	4257.361586181236	1
58	4913.31065135292	4257.689290501816	1
59	4914.277556044544	4257.361459094342	1
60	4914.276743122726	4257.361397654715	1
61	5042.372300936549	4248.280419701528	1
62	5042.373050213617	4248.280473710225	1
63	5042.366850985971	4248.181711123263	1
64	5042.367920969409	4248.186456241178	1
65	5818.377230831713	4110.563232426708	1
66	5818.282039290352	4110.658019272217	1
67	5818.390292355121	4110.549137810413	1
68	5818.377629229712	4110.563185130523	1
69	6711.715001909673	3916.793030342357	1
70	6711.660519767756	3916.779627643285	1
