task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	5a/16b196	3950170	NFCORE_PANGENOME:PANGENOME:COMMUNITY:WFMASH_MAP_COMMUNITY (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz)	COMPLETED	0	2024-04-04 16:05:21.227	16.9s	16.8s	600.1%	106 MB	8.3 GB	10.5 MB	1.5 MB
2	d3/95b1ab	3951270	NFCORE_PANGENOME:PANGENOME:COMMUNITY:PAF2NET (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz)	COMPLETED	0	2024-04-04 16:05:38.134	197ms	108ms	98.7%	12.7 MB	40.6 MB	4 MB	177.1 KB
3	3d/b4cbc5	3951397	NFCORE_PANGENOME:PANGENOME:COMMUNITY:NET2COMMUNITIES (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz)	COMPLETED	0	2024-04-04 16:05:38.354	708ms	630ms	994.6%	13.3 MB	84.4 MB	9.7 MB	8 KB
5	d4/36b9e9	3951594	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.1])	COMPLETED	0	2024-04-04 16:05:39.087	223ms	159ms	88.3%	12.6 MB	33.4 MB	5.9 MB	764.5 KB
6	9d/898cfb	3951609	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.2])	COMPLETED	0	2024-04-04 16:05:39.100	222ms	147ms	93.7%	12.6 MB	33.4 MB	5.7 MB	413.6 KB
10	04/d00df1	3951630	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.6])	COMPLETED	0	2024-04-04 16:05:39.108	221ms	146ms	100.8%	12.6 MB	33.4 MB	5.7 MB	762.8 KB
8	08/5520fe	3951639	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.4])	COMPLETED	0	2024-04-04 16:05:39.112	223ms	154ms	95.2%	12.6 MB	33.4 MB	6 MB	1.5 MB
9	f1/a6978c	3951656	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.5])	COMPLETED	0	2024-04-04 16:05:39.115	227ms	145ms	95.3%	12.6 MB	33.4 MB	5.7 MB	613 KB
7	44/b22136	3951616	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.3])	COMPLETED	0	2024-04-04 16:05:39.105	305ms	158ms	98.3%	12.6 MB	33.4 MB	6 MB	1.3 MB
4	a7/7435e3	3951598	NFCORE_PANGENOME:PANGENOME:COMMUNITY:EXTRACT_COMMUNITIES ([id:lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.0])	COMPLETED	0	2024-04-04 16:05:39.095	335ms	273ms	94.6%	12.6 MB	33.6 MB	10.6 MB	14.3 MB
12	fe/2a68fc	3952394	NFCORE_PANGENOME:PANGENOME:COMMUNITY:TABIX_BGZIP (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.2)	COMPLETED	0	2024-04-04 16:05:39.337	128ms	68ms	114.1%	3.1 MB	11 MB	588.3 KB	109.7 KB
13	5d/8b3421	3952408	NFCORE_PANGENOME:PANGENOME:COMMUNITY:TABIX_BGZIP (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.6)	COMPLETED	0	2024-04-04 16:05:39.343	212ms	104ms	103.9%	5.7 MB	20.9 MB	937.4 KB	202.7 KB
15	6f/eaf429	3952441	NFCORE_PANGENOME:PANGENOME:COMMUNITY:TABIX_BGZIP (lumpy_2_skin_2_disease_2_virus_2_2_.fasta.gz.community.5)	COMPLETED	0	2024-04-04 16:05:39.356	206ms	81ms	97.3%	5.7 MB	20.9 MB	787.7 KB	164.4 KB
