idx	X	Y	component
0	1000	1150.986532157459	0
1	2296.719023278061	1149.683968305684	0
2	1115.097032874711	1150.869009556363	0
3	2169.146020584741	1150.413201979494	0
4	1169.411829331072	1224.467738237158	0
5	2169.146622250459	1150.41320981467	0
6	1436.753007717861	1584.714645868409	0
7	2355.062999060879	1143.117962227416	0
8	2169.146588422879	1150.413209146812	0
9	2296.718777426437	1149.683989662126	0
10	2296.719024713844	1149.683973234429	0
11	2322.765708579116	1147.059941469349	0
12	2322.765738401502	1147.059999842578	0
13	2323.740420851673	1146.818006819818	0
14	2322.765742797927	1147.059938022151	0
15	2323.740358538001	1146.818092176242	0
16	2323.740641574649	1146.818002467699	0
17	2331.700708481114	1145.438596637995	0
18	2331.700970618119	1145.438562099632	0
19	2332.696887102915	1145.271130856534	0
20	2331.701869667001	1145.438641786412	0
21	2332.698212445147	1145.271152545234	0
22	2332.698283848783	1145.271119826948	0
23	2355.060156110248	1143.121186800932	0
24	2355.060608284518	1143.121239852989	0
25	2355.952340856146	1143.6251589965	0
26	2355.058720804172	1143.122681481085	0
27	2355.951439643351	1143.625214112036	0
28	2355.952406723414	1143.625154028455	0
29	2359.217836589978	1143.593544257395	0
30	2359.208883329474	1143.590789308666	0
31	2359.429176814077	1143.663341911686	0
32	2359.236872126637	1143.599381679099	0
33	2390.820935190223	1146.636795817796	0
34	2390.821800083178	1146.6311660932	0
35	2391.824471343959	1146.608171591316	0
36	2390.820748083727	1146.636705133074	0
37	2391.826562186591	1146.609170478766	0
38	2391.828186300738	1146.609578613821	0
39	2403.526433645819	1150.118804470037	0
40	2403.524717949712	1150.118437390893	0
41	2404.513347209215	1150.39332035089	0
42	2403.527570244162	1150.118935344429	0
43	2404.512481756661	1150.393082028691	0
44	2404.514364044707	1150.393538582435	0
45	2419.78899718727	1153.474978021768	0
46	2419.774457240188	1153.475725219673	0
47	2422.02234843103	1153.219543027351	0
48	2419.788918328776	1153.475228638264	0
